Group	Accu_BS	Accu_PM	Accu_Diff	Avg_BS	Avg_PM	Diff	P_value	FDR	Color	FC
Acidobacteriae_fa	1023	617.68220067108	405.31779932892	0.939393939393939	0.567201286199339	0.372192653194601	1.30114530706439e-113	1.90411508350886e-113	Acidobacteriota	0.656191483077483
Rubrobacteriaceae	726	321.764164766331	404.235835233669	0.666666666666667	0.295467552586163	0.371199114080504	2.90635873499038e-69	3.96321645680506e-69	Actinobacteriota	1.25631092426725
Latescibacteraceae	792	409.622266884875	382.377733115125	0.727272727272727	0.376145332309343	0.351127394963384	5.50458596960857e-65	7.42191366688796e-65	Latescibacterota	0.933488640700759
B1-7BS	990	669.802265857086	320.197734142914	0.909090909090909	0.615061768463808	0.294029140627102	5.2941641792852e-90	7.47411413546146e-90	Proteobacteria	0.478048150125596
Geminicoccaceae	495	186.519590781821	308.480409218179	0.454545454545455	0.17127602459304	0.283269429952415	6.15691999654338e-46	7.69614999567922e-46	Proteobacteria	1.65387672107335
Salisediminibacteriaceae	880.656621219253	592.662432976649	287.994188242604	0.808683766041555	0.54422629290785	0.264457473133704	7.357979636023e-39	8.91876319517939e-39	Firmicutes	0.485932922719858
Chloroflexaceae	462	740.703677822496	-278.703677822496	0.424242424242424	0.680168666503669	-0.255926242261245	2.87794966368198e-24	3.28908532992226e-24	Chloroflexi	-0.603254713901507
Saprospiraceae	462	187.141085280381	274.858914719619	0.424242424242424	0.17184672661192	0.252395697630504	6.47372403919092e-38	7.7684688470291e-38	Bacteroidota	1.46872566389051
Nitrospiraceae	1085.53554897515	835.635393864803	249.900155110345	0.996818685927593	0.767341959471812	0.229476726455781	0	0	Nitrospirota	0.29905405748141
Bdellovibrionaceae	1082.31144699537	848.340109838688	233.971337156678	0.993858078049005	0.779008365324783	0.214849712724223	0	0	Bdellovibrionota	0.275798980200485
Entotheonellaceae	1083.51651079277	862.774944716883	220.741566075882	0.994964656375358	0.792263493771242	0.202701162604116	4.13635820134991e-143	6.53109189686828e-143	Entotheonellaeota	0.255850691339116
Streptomycetaceae	1080.40702537219	870.883961873363	209.523063498828	0.992109297862434	0.799709790517321	0.192399507345113	0	0	Actinobacteriota	0.240586659844007
Staphylococcaceae	330	537.709163458426	-207.709163458426	0.303030303030303	0.493764153772659	-0.190733850742356	1.32890721209782e-18	1.47656356899758e-18	Firmicutes	-0.629421707449775
