Node	Phylum	Class	Order	arabidopsis_thaliana_rhizoplane	arabidopsis_thaliana_rhizosphere	lotus_japonicus_root	lotus_japonicus_rhizosphere	arabidopsis_thaliana_root	CAS	chlamydomonas_reinhardtii_phycosphere
ASV_1	Proteobacteria	Gammaproteobacteria	Burkholderiales	183.616196141522	256.97240881203	181.282211488254	201.836818207132	193.744256045789	233.187011636443	128.105201073403
ASV_10	Proteobacteria	Gammaproteobacteria	Pseudomonadales	162.092074734135	241.122026405979	165.915485220961	213.060930485884	183.312344082178	224.554824515748	128.093777909655
ASV_100	Myxococcota	Polyangia	Haliangiales	120.782703333518	209.152193455507	94.1783762346605	0	215.498493074636	34.1809354977923	0
ASV_1000	Actinobacteriota	Acidimicrobiia	IMCC26256	75.2348289420878	234.855838550778	56.3886453657448	29.6732804034371	108.799919624805	215.128402646133	137.256812011452
ASV_1001	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	39.1914368921144	245.257417782052	0	123.703747204904	22.4152653402404	223.671743508255	78.3602481896662
ASV_1002	Bacteroidota	Bacteroidia	Cytophagales	189.066851864709	276.894901042236	119.728554624598	225.371540566953	160.789752498	238.183062787699	0
ASV_1003	Bacteroidota	Kapabacteria	Kapabacteriales	118.070117266107	270.924305511534	33.311093761469	208.855163409029	70.3249395699993	281.559655321265	0
ASV_1004	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	44.1447366532112	233.813228039267	50.1563069237497	196.960082116561	79.5922501770166	175.451820600941	134.418926931118
ASV_1006	Actinobacteriota	Thermoleophilia	Solirubrobacterales	0	228.798426606087	0	47.8517941915837	25.3090492179	214.888482900954	149.925922909004
ASV_1008	Proteobacteria	Gammaproteobacteria	Burkholderiales	38.6349878132638	47.1882800898697	0	0	0	80.2423962179013	0
ASV_101	Actinobacteriota	Actinobacteria	Streptomycetales	180.425840147375	249.78616202735	131.52867842804	201.401132637565	211.305417167465	225.077034432562	134.173515754628
ASV_1010	Proteobacteria	Alphaproteobacteria	Caulobacterales	161.309476748117	223.534259259151	135.587723722382	190.707363549378	194.080722274938	139.048287245397	0
ASV_1012	Proteobacteria	Alphaproteobacteria	Rhizobiales	196.504681946748	269.451517068299	137.24166897451	178.277460123317	171.994833621368	226.49001087554	66.6560149011977
ASV_1014	Chloroflexi	Chloroflexia	Chloroflexales	46.8977823872872	234.72884909481	125.611860392467	198.179767577272	145.321143079113	72.9059863963777	0
ASV_1015	Actinobacteriota	Acidimicrobiia	Microtrichales	54.8283656642634	241.631463407209	21.3963287523597	71.5293169963437	87.8818818781641	216.133178564938	93.1300589947699
ASV_1017	Proteobacteria	Gammaproteobacteria	Xanthomonadales	183.857528487581	255.582967669455	72.9012639890004	188.494541440524	174.155879895282	261.969075797284	0
ASV_1018	Firmicutes	Bacilli	Alicyclobacillales	44.1447366532112	249.909533049955	0	82.3124861767255	74.0393319446913	240.208785979395	133.207803733428
ASV_1019	Proteobacteria	Alphaproteobacteria	Rhizobiales	114.605116780918	166.079699215916	133.290993793272	186.508852592553	147.585373067107	51.7735466444507	112.125768174577
ASV_102	Proteobacteria	Alphaproteobacteria	Rhizobiales	182.717071169939	249.995616844567	139.217964952819	200.015821265173	184.815392820202	224.918057180155	99.3103576782553
ASV_1020	Proteobacteria	Gammaproteobacteria	Burkholderiales	0	63.729896033927	40.1426419614274	29.7801192161024	0	132.107637645849	98.5066182677793
ASV_1021	Chloroflexi	TK10	NA	0	244.377624932094	0	171.84384641597	48.3825620905478	215.048751972911	0
ASV_1022	Proteobacteria	Gammaproteobacteria	Burkholderiales	0	74.1963309332506	88.3264516732272	140.702121484158	58.0733468662468	150.18607710401	79.9100001191238
ASV_1023	Actinobacteriota	Actinobacteria	Micromonosporales	0	0	0	0	23.1531696747995	0	0
ASV_1024	Proteobacteria	Alphaproteobacteria	Rhizobiales	96.8741312475833	89.7824447313664	133.508330274823	174.205037265828	109.352011462513	0	0
ASV_1025	Proteobacteria	Gammaproteobacteria	Pseudomonadales	35.3943549769585	159.886937787192	38.3561315473108	0	62.8888092822355	112.020771352744	0
ASV_1026	Desulfobacterota	NA	NA	65.9574938849309	239.538641961225	18.2990999686977	174.863416134968	59.5418253310484	227.239269696838	119.858623256178
ASV_1027	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	121.251526011022	253.817385795022	48.1015410147477	179.538014043578	47.9623860897795	266.971527862228	0
ASV_1028	Chloroflexi	TK10	NA	0	53.8431803492829	84.8274034946009	301.891030001486	48.2737242316156	174.410252949218	0
ASV_103	Proteobacteria	Gammaproteobacteria	Xanthomonadales	143.33429883138	219.041134004382	82.5445159175182	135.73233600176	161.973328006474	157.546993984557	58.5995212274255
ASV_1031	Actinobacteriota	Actinobacteria	Micromonosporales	183.131560584493	256.929432061381	102.153179145403	164.216108792324	187.219366448601	207.11985713933	0
ASV_1032	Actinobacteriota	Actinobacteria	Micrococcales	130.886065021711	195.904639459655	60.1663578769704	80.7900154680393	167.049326593932	165.612591633202	0
ASV_1033	Actinobacteriota	Actinobacteria	Pseudonocardiales	0	0	0	0	8.33780825266128	0	0
ASV_1035	Patescibacteria	Saccharimonadia	Saccharimonadales	54.3088363296297	242.636055380087	0	51.8931028051549	184.282755674002	238.044788775127	132.370662917803
ASV_1036	Actinobacteriota	Actinobacteria	Propionibacteriales	204.151780550617	237.36855955734	146.255767132942	180.712232002165	181.381708989144	217.434698799034	0
ASV_1037	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	0	0	0	0	0	201.632312246583	35.8582627437604
ASV_104	Proteobacteria	Gammaproteobacteria	Burkholderiales	165.404003558525	289.093589955488	162.146779013453	249.973759711542	196.327188937825	296.806947814853	133.813945767618
ASV_1040	Proteobacteria	Gammaproteobacteria	R7C24	188.925861300375	251.653521559383	0	161.827243804844	157.836108788707	187.832194994313	0
ASV_1042	Proteobacteria	Gammaproteobacteria	Burkholderiales	140.096671289329	235.282812033804	135.955062129816	195.238536882712	178.363374788831	0	0
ASV_1043	Proteobacteria	Gammaproteobacteria	Burkholderiales	135.725872587627	104.39738160667	152.200085056762	214.960688383411	0	38.1287835293072	0
ASV_1044	Chloroflexi	TK10	NA	85.2875848003292	102.672168235567	100.101322485517	244.744371868529	45.9568958223032	194.920512860957	0
ASV_1045	Firmicutes	Clostridia	Clostridiales	0	262.208196751776	0	81.3965078431092	66.4419130400465	282.902936646273	152.907633805095
ASV_1046	Proteobacteria	Gammaproteobacteria	Steroidobacterales	157.790208200214	211.072237658217	148.417008655555	185.405832405329	190.063727180046	37.7434414923374	0
ASV_1048	Proteobacteria	Gammaproteobacteria	Burkholderiales	131.50378133289	247.81141852106	129.007165203503	257.876981807962	182.595122994237	216.613454957081	94.6445951542974
ASV_105	Proteobacteria	Gammaproteobacteria	Burkholderiales	171.529600093012	271.956000514674	86.5285568406761	208.400939555587	130.869062049448	306.72827850215	107.804143501713
ASV_1050	Proteobacteria	Gammaproteobacteria	Burkholderiales	142.191729239762	242.133672773734	67.5155782723038	188.371136584388	144.553843699648	221.428693171998	0
